source,title_1,title_2,preference
"hi ,   i think this is a bug :   i 've created a brand new spring boot verid40 1.3.1 verid0 web app in spring source tool suite picking redis and spring session integration .  http and jmx health works fine when redis is up . when i pull redis down the the jmx health works fine telling me redis is down and showing the connection error however the http health gives me an error because in order to deliver the http response it tries to access the session . the stack trace is below but looks like it 's to do with idtid40 requestcontextfilter idtid0 attributes . idtid40 requestcompleted idtid0 ( ) ; which indirectly tries to get the idtid40 httpsession idtid0 .   thanks   phofcode ",spring boot 1.3.1 http and jmx health issue,spring boot 1.3.1 - http and jmx health,2
"consider the following :   phofcode   this works nicely , returning `` television '' as a suggestion option . however , if you 'll put the following template before re-playing this scenario , the multi-field mapping will prevent the phrase suggester query from returning results :   phofcode ",multi-field mapping does n't prevent phrase suggester query,multi-field mapping prevents phrase suggester query from returning results,2
"# # # what is the purpose of your * issue * ?  - [ x ] bug report ( encountered problems with youtube-dl )   - [ x ] feature request ( request for a new functionality ) _ ( kind of ) _    -- -  - [ x ] i 've ** verified ** and **i assure** that i 'm running youtube-dl ** verid40 2017.11.26 verid0 **  - x ] at least skimmed through the [ readme phofhyperlink , **most notably** the faq phofhyperlink and bugs phofhyperlink sections  - x ] [ searched phofhyperlink the bugtracker for similar issues including closed ones   idtid40 _it idtid0 could be similar to : phofurl but afaik that post had no fix , this one does._   -- -   in the common downloader : phofurl  the code does not sleep when a file is already downloaded , despite ` idtid40 sleep_interval idtid0 ` being set which is an issue on some sites , e.g idtid40 niconico idtid0 , which even when you do not download the file give you a error 503 when requesting too many videos in short time .   one way to solve this would be something like :  phofurl but there are probably other approaches too .  ",downloader does not sleep when a file is already downloaded,does not sleep when file is already downloaded,1
"hi all ,   in the latest rc7 , there is a surprising update regarding the header : phofurl  all headers are now lowercased .  argument for this modification is ieftf 's http/ verid40 1.1 verid0 specifications .   as far i understand , header case-insensitive support is a server side concerns , not client side .  it is stated `` field names are case-insensitive . `` , making server more tolerant .  it is not stated `` headers sent by the client should be lowercased '' , making client library deciding what to do with your header .   this change is a breaking one .  consequence are immediate by broken server-side compatibility .  for exemple , a server-side expected `` authorization '' header , which is now lowercased by client in `` authorization '' , is not recognised anymore by the server .   thank you for your support . ",headers are now lowercased in the latest rc7,all headers are now lowercased in client side,1
"sometimes when using grid search or randomized search one has the necessity to enable or disable some preprocessing steps . for example , i might decide to see whether my model performs better if i scale my features or not .  i think a simple way to obtain that would be to add a ` bypass ` argument to the transformers .  as an example , think of a setup where a idtid40 logisticregression idtid0 model is selected through grid search :   phofcode   given this setup , whenever the combination of parameters contains ` bypass=true ` , the scaling is ignored , regardless of the value of the other parameter ` idtid40 with_std idtid0 ` . i also think this is pretty easy to implement . for example , ` idtid40 standardscaler idtid0 ` could be extended by just changing its ` idtid40 __init__ idtid0 ` and ` fit ` methods like this :   phofcode   not totally sure if i 'm being clear with this request , if you do n't understand i can provide a working example , since i 've implemented it for my own personal use . ",add bypass argument to transformers,add bypass argument to transformers when using grid search,2
"here is my code :  phofcode   when i type url like : http : // my machine ip:4001/test on browser address area , it will show the image .  but when i right click the image through my mouse , and choose save as image item , it does n't show the correct name defined in content-disposition .   image phofimage   as the picture show , the response header content-diposition 's filename is test.jpeg , but the download dialog show other name .  how should i solve the problem ?",content-disposition doesn't show the correct image name,how to save image item in content-disposition ?,1
"as the language server protocol ( phofurl ) is getting more and more popularity and clients ( phofurl ) , it would be very useful to have the tsserver implement this protocol . ",add language server protocol to tsserver,tsserver should be able to implement tsserver protocol,1
"- vscode version : code verid40 1.17.1 verid0 ( 1e9d36539b0ae51ac09b9d4673ebea4e447e5353 , 2017-10-10t14:10 : verid40 17.189z verid0 )  - os version : darwin x64 verid40 15.6.0 verid0  - extensions :   extension|author ( truncated ) |version  -- -| -- -| -- -  code-settings-sync|sha| verid40 2.8.3 verid0  sort-lines|tyr| verid40 1.3.0 verid0  vscode-new-file|dku| verid40 3.1.1 verid0  tslint|eg2| verid40 1.0.11 verid0  cpptools|ms-| verid40 0.13.1 verid0  vscode-icons|rob| verid40 7.15.0 verid0  vscode-open-in-github|sys| verid40 1.6.0 verid0     -- -   steps to reproduce :   1 . select a section of javascript with indentation including a newline  2 . paste   animation phofimage   reproduces without extensions : yes  reproduces in insiders : yes verid40 1.18 verid0 ( 989c40066d124cde846cf5ded8364251246e100e )   previously , the indention was as expected on paste . my editor . idtid40 formatonpaste idtid0 is explicitly set to false in my user settings . a basic rule of thumb seems to apply that selecting a text range and pasting once should be a noop . is there something i 'm missing or a new setting i need to disable ?   update : it 's worth nothing that the same indentation creep problem does not apply to lines within the same block",editor . formatonpaste does not work with indentation,indentation creep issue on paste,2
"hello ,   the documentation and the idtid40 typescript idtid0 idtid40 typedefinition idtid0 says that `` app . idtid40 getg idtid0 pu idtid40 featurestatus idtid0 `` would be right but the valid code is `` app . idtid40 getg idtid0 ** pu ** idtid40 featurestatus idtid0 `` .   i used electron version verid40 1.7.8 verid0 .   thank you ",app . getg pu pu featurestatus featurestatus `` app . getg pu ``,typescript typedefinition is not correct,2
example with chris pratt : the following line :   youtube-dl -f mp4 -- dateafter 20171115 phofurl   downloads all videos posted idtid40 _before_ idtid0 15th of november 2017.   this worked before the last update .,downloads all videos posted before the last update,downloads all videos posted before 15th of november 2017,2
> what version of go are you using ( go version ) ?   verid40 1.4.2 verid0   > what operating system and processor architecture are you using ?   os x   > what did you do ?   i just ran ` go vet -x ` on my package   > what did you expect to see ?   i 'm expecting to see 3 files being checked .   $ go vet -x  /usr/local/cellar/go/ verid40 1.4.2 verid0 /libexec/pkg/tool/ idtid40 darwin_amd64 idtid0 /vet **account.go idtid40 account_test idtid0 .go postgres.go**   > what did you see instead ?   only 2 files being checked .   phofimage ,go vet -x fails on mac os x,go vet -x only checks 2 files,2
"in this plunker phofhyperlink , i use the class idtid40 dynamiccomponentloader idtid0 to dynamically instantiate components .   however , when i open the developer tools windows and look at the network tab , the html files associated to the components dynamically created are retrieved more than one time .   why does the caching not working ?  is it because the components are dynamically created so angular does n't know to not download the template files again ?   image phofimage  - angular version : verid40 2.0.0-beta.8 verid0  - browser : all  - language : idtid40 typescript idtid0 ",dynamiccomponentloader caching not working,caching not working when using dynamiccomponentloader with dynamiccomponentloader,1
"hy   i found a bug in the es java client ( idtid40 transportclient idtid0 ) :   after one node gets unavailable , our application takes several minutes to reconnect to es again .  after some investigations it seems like the idtid40 transportservice idtid0 can not raise exceptions to the idtid40 requestholder idtid0 s.  idtid40 raisenodedisconnected idtid0 ( ) can not match the disconnected node ( object from idtid40 listednodes idtid0 in idtid40 transportclient idtid0 nodesservice ) with the idtid40 requestholder idtid0 node ( object from nodes in idtid40 transportclient idtid0 nodesservice ) .   the nodes get matched by their id but idtid40 listednodes idtid0 contain dummy ids ( `` # transport # -1 '' ) while nodes contains real ids from the cluster . ",transportclient can not raise exceptions to the requestholder s,bug in es java client ( transportclient ),1
"# # reproduction   on a freshly init 'd project :   phofcode   the ` optional-failure ` package has an optional dependency on ` pkg-with-failing-postinstall ` .   here 's the full output from running this command on my machine :   phofcode   this produces an exit status of 1.   # # expected behavior   the ` -- ignore-optional ` flag should allow optional postinstall scripts to fail and be handled the same way failing installs of optional deps are handled .   # # system information   i 've reproduced this on two systems :   1 . node verid40 6.9.1 verid0 , yarn verid40 0.21.3 verid0 , windows 10  2 . node verid40 7.7.1 verid0 , yarn verid40 0.22.0-1 verid0 ( with a couple of patches from master ) , mac sierra verid40 10.12.3 verid0",ignore-optional does not work on mac sierra,-- ignore-optional flag doesn't work for optional postinstall scripts,2
"# # please follow the guide below   - you will be asked some questions and requested to provide some information , please read them ** carefully ** and answer honestly  - put an ` x ` into all the boxes [ ] relevant to your * issue * ( like that [ x ] )  - use * preview * tab to see how your issue will actually look like   -- -   # # # make sure you are using the * latest * version : run ` youtube-dl -- version ` and ensure your version is * verid40 2017.07.23 verid0 * . if it 's not read this faq entry phofhyperlink and update . issues with outdated version will be rejected .  - [ x ] i 've ** verified ** and **i assure** that i 'm running youtube-dl ** verid40 2017.07.23 verid0 **   # # # before submitting an * issue * make sure you have :  - x ] at least skimmed through [ readme phofhyperlink and **most notably** faq phofhyperlink and bugs phofhyperlink sections  - x ] [ searched phofhyperlink the bugtracker for similar issues including closed ones   # # # what is the purpose of your * issue * ?     - [ x ] question    -- -   cnc world news live broadcast , should be live but i am not so sure .   on youtube website there is no live broadcat of this news channel .    would it be possible to make youtube-dl to work with :   phofurl  -- -   phofcode  ",no live broadcast on youtube video ( cnc ),cnc world news live broadcast,1
"hello , this is your friendly neighborhood mergebot .  after merging pr rust-lang/rust # 63420 , i observed that the tool clippy-driver no longer builds .  a follow-up pr to the repository phofurl is needed to fix the fallout .   cc @ spastorino , do you think you would have time to do the follow-up work ?  if so , that would be great !   cc @ oli-obk , the pr reviewer , and @ rust-lang/compiler -- nominating for prioritization .  ",` clippy-driver ` no longer builds after rust-lang/rust # 63420,` clippy-driver ` no longer builds after rust-lang/rust # 63420,1
"looks like # 5489 has struck again , but this time i think i 've figured it out .   from inside the container i ca n't see one of the mountpoints :   phofcode   inspecting the container in question shows they should be there :   phofcode   but checking /proc/mounts from inside the container ( which is presumably correct ) shows :   phofcode   it looks as though docker mounted ` /shared/backups ` first , then hid it with the ` /shared ` mount . ",mountpoints aren't visible from inside the container,ca n't see /proc/mounts from inside the container,2
"hi all ,   the error i get is :   > invariant violation : element type is invalid : expected a string ( for built-in components ) but got : object . you likely forgot to export your component from the file it 's defined in .  >  > the error is located at :  > in rctview ( at view.js:112 )  > in view ( at idtid40 appcontainer idtid0 .js:102 )  > in rctview ( at view.js:112 )  > in view ( at idtid40 appcontainer idtid0 .js:122 )  > in idtid40 appcontainer idtid0 ( at idtid40 renderapplication idtid0 .js : 34 )  >   phofurl     my app.js is like this . not sure what i am doing wrong here . would be grateful for any pointers . thank you : )   phofcode   ",element type is invalid : expected a string,element type is invalid : expected a string but got : object,2
"# # # problem description  for idtid40 ios idtid0 tablet and phones ( safari and chrome ) i found that if you focus on a form `` idtid40 textfield idtid0 `` input , before tapping on or a opening a idtid40 datepicker idtid0 or idtid40 timepicker idtid0 , the focus will persist on the last input . to fix this on idtid40 ios idtid0 :   i added the `` idtid40 ontouchtap idtid0 `` property to the *picker   ` idtid40 ontouchtap idtid0 = { this . idtid40 excusekeyboard idtid0 } `   and implemented component method ( bound to component )   phofcode   without this the picker will open with keyboard open and i think would be more useable out of the box with this done automatically ( only tested on idtid40 ios idtid0 ) .   # # # versions   - material-ui : verid40 0.17.0 verid0 - verid40 0.16.x verid0  - react : 15.x  - browser : idtid40 ios idtid0 10.x , mobile chrome and safari ( ipad/iphone7/iphone6plus ) ",focus on input before tapping on or opening datepicker or timepicker,textfield focus will persist on ios mobile browsers,1
"# # description   while creating pages programatically using the ` idtid40 createpage idtid0 ` action , one of my ` path ` s has the following characters ...   # # # steps to reproduce  phofcode  # # # expected result   if the characters are not allowed , i 'd hope for a warning or error telling me so .   # # # actual result   strangely , the page is created , however the results are unexpected .   - while on the dev 404 page , i can see my page in the list . if i click it , the page/component loads correctly .  - if i directly navigate to the page in my browser , i get the error : ` can not get /reference/mono- verid40 v6.x.x verid0 `   there is nothing in logs about this , or in the browser console .   # # # environment   phofcode",warning when creating pages with the createpage action,unexpected characters in path in createpage action,2
# # # description   trying to open a recent file from the taskbar on windows causes an error .  # # # steps to reproduce  1 . right click on atom icon on the taskbar  2 . click on a recent file to open   image phofimage   **expected behavior : **   atom should open the file in to the editor   **actual behavior : **   error is shown   image phofimage  # # # versions   windows 10 64 bit   atom : verid40 1.10.2 verid0  electron : verid40 0.37.8 verid0  chrome : verid40 49.0.2623.75 verid0  node : verid40 5.10.0 verid0   apm verid40 1.12.5 verid0  npm verid40 3.10.5 verid0  node verid40 4.4.5 verid0  python verid40 2.7.10 verid0  git verid40 2.9.0.windows.1 verid0  visual studio 2015 ,error opening recent file from taskbar on windows,can not open recent file on windows,1
